autor_comentario,nota_comentario,conteudo_comentario,criticas_autor,seguidores_autor,conteudo_tokens,conteudo_stem,conteudo_lema
Jorge F.,1.0,"Maior decepção de 2017, pelo menos até o momento. Não havia visto o primeiro filme e pela qualidade dos trailers, imaginei que seria um ótimo filme, com ótima história, ótimos sustos. O filme é longo, chato e exaustivo. Como todos os filmes de terror, os personagens sempre fazem besteiras, o problema é que as besteiras deste filme não desenvolvem em nada, nem em um susto sequer. Alguns dizem que a história é boa, porém é chata e muitas coisas não tem nexo. Se tivesse como, não daria estrela alguma por ele.",1.0,2.0,decepção 2017 havia visto filme qualidade trailers imaginei ótimo filme ótima história ótimos sustos filme longo chato exaustivo filmes terror personagens besteiras problema besteiras filme desenvolvem susto sequer história chata muitas coisas nexo tivesse daria estrela alguma,decepç 2017 hav vist film qual trail imagin ótim film ótim histór ótim sust film long chat exaus film terr person beste problem beste film desenvolv sust sequ histór chat muit cois nex tiv dar estrel algum,decepção 2017 haver ver filme qualidade trailers imaginar ótimo filme ótima história ótimo susto filme longo chato exaustivo filme terror personagem besteira problema besteira filme desenvolver susto sequer história chato muito coisa nexo tiver dar estrela algum
Rodrigo Gomes,4.0,"Bons sustos e ótimas interpretações. Com uma caracterização excelente, temos mais uma grande obra de King, em que sua maior graça é trabalhar nossos próprios medos. Com toques divertidos e muita tensão ficou muito bom.",923.0,6065.0,bons sustos ótimas interpretações caracterização excelente obra king graça trabalhar próprios medos toques divertidos muita tensão ficou,bom sust ótim interpret caracter excel obr king graç trabalh própri med toqu divert muit tens fic,bom susto ótimo interpretação caracterização excelente obra king graçar trabalhar próprio medo toque divertir muito tensão ficar
Vanessa V.,5.0,"Simplesmente o melhor filme de terror que já assisti. Apesar do ar extremamente similar a Stranger Things, tudo no filme superou minhas expectativas. Fiquei grudada na cadeira o tempo todo.",1.0,1.0,simplesmente melhor filme terror assisti apesar ar extremamente similar stranger things filme superou expectativas fiquei grudada cadeira,simples melhor film terr assist apes ar extrem simil strang thing film super expect fiq grud cade,simplesmente bom filme terror assisti apesar ar extremamente similar stranger things filme superar expectativa fiquei grudado cadeira
Igor F.,0.5,"Sinceramente, este filme foi uma decepção, não assisti o primeiro (fui informado que era muito bom), mas como todo mundo falou sobre, então resolvi assistir, que decepção, a partir do momento em que o filme se iniciou eu já percebi que ia ser uma merda, não foi uma falsa impressão, o filme é realmente um lixo. O filme pode até ser assustador para crianças de até 10/12 anos, mas uma pessoa com idade superior a esta já não vê graça nas cenas que se passam o filme, não tive susto algum, fui assistir ao filme na intenção de levar alguns sustos, de ver algum terror, mas o que acabei encontrando foi um filme de comédia e com mortes toscas, o palhaço não põe medo em ninguém, o palhaço da década de 90 é mil vezes mais assustador, sinceramente, está na lista entre os piores filmes já assistidos por mim até hoje. Caso estejam imaginando que vão encontrar um filme de terror com inúmeros sustos, descartem a possibilidade, agora se estão pretendendo assistir a um filme de comédia, é uma ótima escolha.",44.0,7.0,sinceramente filme decepção assisti informado mundo falou resolvi assistir decepção filme iniciou percebi ia merda falsa impressão filme realmente lixo filme assustador crianças 10/12 anos pessoa idade superior vê graça cenas passam filme susto algum assistir filme intenção levar sustos algum terror acabei encontrando filme comédia mortes toscas palhaço medo ninguém palhaço década 90 assustador sinceramente lista piores filmes assistidos mim hoje caso estejam imaginando encontrar filme terror inúmeros sustos descartem possibilidade pretendendo assistir filme comédia ótima escolha,sinc film decepç assist inform mund fal resolv assist decepç film inici perceb ia merd fals impress film real lix film assust crianç 10/12 ano pesso idad superi vê graç cen pass film sust algum assist film intenç lev sust algum terr acab encontr film coméd mort tosc palh med ninguém palh déc 90 assust sinc list pi film assist mim hoj cas estej imagin encontr film terr inúmer sust descart possibil pretend assist film coméd ótim escolh,sinceramente filme decepção assisti informar mundo falar resolver assistir decepção filme iniciar percebi ir merda falso impressão filme realmente lixo filme assustador criança 10/12 ano pessoa idade superior ver graça cena passar filme susto algum assistir filme intenção levar susto algum terror acabar encontrar filme comédia morte tosco palhaço medo ninguém palhaço década 90 assustador sinceramente lista piores filme assister eu hoje caso estar imaginar encontrar filme terror inúmero susto descartir possibilidade pretendendo assistir filme comédia ótimo escolha
Ailton G.,0.5,"Filme é uma porcaria! Enredo sem nexo, filme não tem nada de terror. Não recomendo, pura perda de tempo.",1.0,,filme porcaria enredo nexo filme terror recomendo pura perda,film porc enred nex film terr recom pur perd,filme porcar enredo nexo filme terror recomendar puro perda
Will V,0.5,"O FILME É UM BOSTA!!! COMO ALGUEM PODE ACHAR BOM UMA FILME RUIM DESSES ???  O filme tem uma unica cena boa que é logo no comecinho quando o garoto olha no Bueiro e ve o palhaço e só! O resto todo é uma comedia adolescente com crianças chatas, no qual nao da nem um sustinho sequer. Pessimo filme, muito marketing e pouca qualidade.",2.0,,filme bosta alguem achar filme ruim desses   filme unica cena comecinho garoto olha bueiro ve palhaço resto comedia adolescente crianças chatas nao sustinho sequer pessimo filme marketing qualidade,film bost algu ach film ruim dess   film unic cen comec garot olh bueir ve palh rest comed adolesc crianç chat nao sust sequ pess film marketing qual,filme bosta alguem achar filme ruim de esse    filme unico cena comecinho garoto olhar bueiro ve palhaço resto comedia adolescente criança chato nao sustinho sequer pessimo filme marketing qualidade
John V.,0.5,"UM TEDIOLi em um blog de que era mais assustador do que o classico O  Exorcista e fui assistir e eis que me deparo com um filme para adolecentes,  (infanto - juvenil. ) Uma especie de Goonies com Fred Gruguer assustando criancinhas. um filme sem historia, vazio, previsivel, cenas obvias sem suspense sem texto de qualidade enfim, um péssimo e tedioso filme.",1.0,,tedioli blog assustador classico   exorcista assistir eis deparo filme adolecentes   infanto juvenil especie goonies fred gruguer assustando criancinhas filme historia vazio previsivel cenas obvias suspense texto qualidade enfim péssimo tedioso filme,tediol blog assust class   exorc assist ei depar film adolec   infant juvenil especi gooni fred grugu assust crianc film hist vazi previsi cen obv suspens text qual enfim péss tedi film,tedioli blog assustador classico    exorcista assistir eis deparo filme adolecente    infanto juvenil Especie goonies Fred Gruguer assustar criancinha filme historia vazio previsivel cena obvio suspense texto qualidade enfim péssimo tedioso filme
Rafaetati D.,1.0,"O maior problema é o filme não cumprir com a expectativa TERROR, em momento nenhum do filme eu senti medo, dei risada e daria uma nota 3.5 se o filme fosse classificado como AVENTURA.Me lembrou demais Gonnies e Stranger Things, as pessoas gargalhavam durante o filme de ""TERROR""...",1.0,,problema filme cumprir expectativa terror nenhum filme senti medo dei risada daria nota 3.5 filme fosse classificado aventura.me lembrou gonnies stranger things pessoas gargalhavam durante filme terror ...,problem film cumpr expect terr nenhum film sent med dei ris dar not 3.5 film foss classific aventura.m lembr gonni strang thing pesso gargalh dur film terr ...,problema filme cumprir expectativa terror nenhum filme sentir medo dei risada dar nota 3.5 filme ser classificar aventura.me lembrar gonnies stranger things pessoa gargalhar durante filme terror ...
Lucas Dacal F.,5.0,"Filme empolgante, dei muita risada, me aterrorizei, chorei, resumindo, foi o melhor filme da minha vida!",1.0,,filme empolgante dei muita risada aterrorizei chorei resumindo melhor filme vida,film empolg dei muit ris aterroriz chor resum melhor film vid,filme empolgante dar muito risada aterrorizei chor resumir bom filme vida
Ontem I.,0.5,O filme é inclassificável. Lixo seria um elogio. Estória sem nexo. Puro marketing. O que me espanta é a nota dele em alguns sites de filmes .. esta classificado com nota máxima.,2.0,,filme inclassificável lixo elogio estória nexo puro marketing espanta nota dele sites filmes .. classificado nota máxima,film inclassific lix elogi estóri nex pur marketing espant not del sit film .. classific not máx,filme inclassificável lixo elogio estória nexo puro marketing espantar nota de ele site filme .. classificado nota grande
Anderson  G.,4.0,"Uma mistura de Conta Comigo (S. King) com Goonies, atrelado a uma exploração do medo, ""It- A Coisa"", mais um filme inspirado na obra literária de Stephen King se propôs a ser varias coisas, um filme de terror, suspense, aventura, comedia, romance e consegue ser um pouco de cada, de uma maneira convincente e bem elaborada, alem de tocar em temas como abuso, amizade, medo, puberdade, etc. Com um roteiro muito bem trabalhado, o direor Andy Muschietti desenvolve 7 protagonistas, que são todos muito bem trabalhados e aprofundados, uns mais que os outros, mas o roteiro desenvolve suas personalidades através de diálogos, interações e convivência familiar, alem do mais, faz de cada jovem uma angustia ali presente, angustia essa que se desenvolve através de seus medos, diferente das maiorias dos livros de King, a onde o sobrenatural demora a aparecer, aqui não, já temos um impacto logo na primeira cena, e depois vai ficando mais leve e vai-se construindo um terror hibrido, capaz de fazer o telespectador gritar numa cena e gargalhar em outra. O filme toca em muitos pontos e se aprofunda em poucos, mas mesmo assim, algo é explorado, como por exemplo a solidão, perda, protecionismo, puberdade, vida adulta, responsabilidades, auto-confiança, e esses são os 7 temores de nossos 7 protagonistas, que precisam quebrar seus medos para crescerem, e o Pennywise é mais do que a personificação de seus medos, ele é metaforicamente um rito de passagem para essas crianças, só que de uma maneira literal e visceral, alguns sub-plots são tratados com enfoque no abuso, muitos deles já tinham seus ""Pennywises"" dentro de casa, que para matar o palhaço, era preciso primeiro se livrar do qual o atormentava em seu lar, e os abusos tratados são sexual e de autoridade. O filme tem uma técnica boa, a onde os principais destaques são a mixagem e edição de som, esses dois elementos são ótimos, alem da boa retratação dos anos 80, com uma fotografia quase clara, e o bom uso das trilhas, embora as vezes o filme não saiba muito bem por qual caminho seguir, as vezes temos o uso da musica pra compor o susto, as vezes não, as vezes temos cortes secos, as vezes não, não temos uma linearidade, o diretor usa muito bem a camera, principalmente nos focos em Pennywise, sempre com o olhar dividido entre o personagem e o telespectador, no geral a tecnica é boa e deixa um ritmo gostoso. Bill Skarsgård está incrível como Pennywise, ele faz um sorriso contido que passa um sensação pura e pleno  horror, alem de seu olhar que divide a quarta parede, Bill realmente está completamente entregue ao papel, fora ele, todas as crianças do elenco estão muito bem, com um destaque para Finn Wolfhard, que demonstra novamente ser um bom ator, alem de um belo alivio cômico. Andy Muschietti é um diretor novo, esse é o seu segundo trabalho dirigindo um longa, o primeiro é o fraco ""Mama"", mas aqui, o diretor manda muito bem a adapta com certa veemência e qualidade uma obra do Mestre Stephen King, o que nem sempre é fácil de fazer. ""It- A coisa"" tem seu charme e seu carisma, assusta e diverte, e é um filme com cheiro, gosto e sabor de Stephen King, e num cinema cada vez mais maturado de filmes de terror iguais, IT é a coisa diferente, mesmo tendo alguns problemas, como o seu terceiro ato ou a repetições de sustos desnecessário, mas mesmo assim, é um ótimo filme, porque é completo.",377.0,1354.0,mistura conta comigo s. king goonies atrelado exploração medo it- filme inspirado obra literária stephen king propôs varias coisas filme terror suspense aventura comedia romance consegue maneira convincente elaborada alem tocar temas abuso amizade medo puberdade etc. roteiro trabalhado direor andy muschietti desenvolve 7 protagonistas trabalhados aprofundados roteiro desenvolve personalidades diálogos interações convivência familiar alem jovem angustia presente angustia desenvolve medos diferente livros king sobrenatural demora aparecer impacto cena ficando leve vai-se construindo terror hibrido capaz telespectador gritar cena gargalhar filme toca aprofunda poucos explorado solidão perda protecionismo puberdade vida adulta responsabilidades auto-confiança 7 temores 7 protagonistas precisam quebrar medos crescerem pennywise personificação medos metaforicamente rito passagem crianças maneira literal visceral sub-plots tratados enfoque abuso deles tinham pennywises casa matar palhaço preciso livrar atormentava lar abusos tratados sexual autoridade filme técnica principais destaques mixagem edição som elementos ótimos alem retratação anos 80 fotografia quase clara uso trilhas filme saiba seguir uso musica pra compor susto cortes secos linearidade diretor camera principalmente focos pennywise olhar dividido personagem telespectador tecnica deixa ritmo gostoso bill skarsgård incrível pennywise sorriso contido passa sensação pura pleno   horror alem olhar divide parede bill realmente completamente entregue papel crianças elenco destaque finn wolfhard demonstra novamente ator alem belo alivio cômico andy muschietti diretor trabalho dirigindo longa fraco mama diretor manda adapta certa veemência qualidade obra mestre stephen king fácil it- charme carisma assusta diverte filme cheiro gosto sabor stephen king cinema maturado filmes terror iguais it diferente tendo problemas ato repetições sustos desnecessário ótimo filme completo,mist cont comig s. king gooni atrel explor med it- film inspir obr literár stephen king propô var cois film terr suspens avent comed romanc conseg man convinc elabor alem toc tem abus amizad med puberdad etc. rot trabalh dire andy muschiett desenvolv 7 protagon trabalh aprofund rot desenvolv personal diálog inter conviv famili alem jov angust pres angust desenvolv med difer livr king sobrenat dem aparec impact cen fic lev vai-s constru terr hibr capaz telespect grit cen gargalh film toc aprofund pouc explor solid perd protecion puberdad vid adult respons auto-confianç 7 tem 7 protagon precis quebr med cresc pennywis personific med metaforic rit pass crianç man liter viscer sub-plot trat enfoqu abus del tinh pennywis cas mat palh precis livr atorment lar abus trat sex autoridad film técn princip destaqu mix ediç som element ótim alem retrat ano 80 fotograf quas cl uso trilh film saib segu uso music pra comp sust cort sec linear dire cam princip foc pennywis olh divid person telespect tecn deix ritm gost bill skarsgård incr pennywis sorris cont pass sens pur plen   horr alem olh divid pared bill real complet entreg papel crianç elenc destaqu finn wolfhard demonstr nov at alem bel alivi cômic andy muschiett dire trabalh dirig long frac mam dire mand adapt cert veem qual obr mestr stephen king fácil it- charm carism assust divert film cheir gost sab stephen king cinem matur film terr igual it difer tend problem ato repet sust desnecess ótim film complet,mistura contar comigo s. king goonies atrelar exploração medo it- filme inspirar obra literário stephen king propor vario coisa filme terror suspense aventura comedia romance conseguir maneira convincente elaborar alem tocar tema abuso amizade medo puberdade etc. roteiro trabalhar direor andy Muschietti desenvolver 7 protagonista trabalhar aprofundar roteiro desenvolver personalidade diálogo interação convivência familiar alem jovem angustia presente angustia desenvolver medo diferente livro king sobrenatural demorar aparecer impacto cena ficar levar vai-se construir terror hibrido capaz telespectador gritar cena gargalhar filme tocar aprofunda pouco explorar solidão perda protecionismo Puberdade vida adulto responsabilidade auto-confianço 7 temor 7 protagonista precisar quebrar medo crescer pennywise personificação medo metaforicamente rito passagem criança maneira literal visceral sub-plots tratar enfoque abuso de eles ter pennywises casa matar palhaço preciso livrar atormentar lar abuso tratar sexual autoridade filme técnica principal destaque mixagem edição som elemento ótimo alem retratação ano 80 fotografia quase clara uso trilha filme saber seguir uso musica pra compor susto corte seco linearidade diretor camera principalmente foco pennywiser olhar dividir personagem telespectador tecnica deixar ritmo gostoso bill skarsgård incrível pennywise sorriso contir passar sensação puro pleno    horror alem olhar dividir parede bill realmente completamente entregar papel criança elenco destaque finn Wolfhard demonstrar novamente ator alem belo alivio cômico andy muschietti diretor trabalho dirigir longo fraco mama diretor mandar adapta certo veemência qualidade obra mestre stephen king fácil it- charme carisma assustar diverte filme cheiro gosto sabor stephen king cinema maturar filme terror igual it diferente ter problema ato repetição susto desnecessário ótimo filme completo
Rodiney,2.5,"Decepcionante. O filme apenas diverte o público adolescente que encheu as salas de cinema para gritar dissimulando sustos. O roteiro segue o modelo ""Goonies"" e as comédias juvenis norte-americanas. A classificação etária a 16 anos me passou uma certa esperança em se tratar de um filme com um roteiro forte e cenas impactantes, mas é preciso que a classificação etária seja corrigida para 10 anos.",13.0,1.0,decepcionante filme diverte público adolescente encheu salas cinema gritar dissimulando sustos roteiro segue modelo goonies comédias juvenis norte-americanas classificação etária 16 anos passou certa esperança tratar filme roteiro forte cenas impactantes preciso classificação etária seja corrigida 10 anos,decepcion film divert públic adolesc ench sal cinem grit dissimul sust rot seg model gooni coméd juvenil norte-americ classific etár 16 ano pass cert esperanç trat film rot fort cen impact precis classific etár sej corrig 10 ano,decepcionante filme diverte público adolescente encheu sala cinema gritar dissimular susto roteiro seguir modelo goonies comédia juvenis norte-americano classificação etário 16 ano passar certo esperança tratar filme roteiro forte cena impactante preciso classificação etário ser corriger 10 ano
Felipe F.,4.0,"It é simplesmente um dos melhores filmes de terror já feitos, o longa sabe como assustar, sabe ter uma dose de humor na hora certa e sabe trabalhar muito bem o drama. As atuações dos jovens atores são incríveis e a história é muito bem trabalhada. Excelente.",758.0,3689.0,it simplesmente melhores filmes terror feitos longa assustar dose humor hora certa trabalhar drama atuações jovens atores incríveis história trabalhada excelente,it simples melhor film terr feit long assust dos hum hor cert trabalh dram atu jov at incr histór trabalh excel,it simplesmente bom filme terror fazer longo assustar dose humor hora certo trabalhar drama atuação jovem ator incrível história trabalhar excelente
jqueirozlfilho,0.5,PÉSSIMO. O PIOR DOS ÚLTIMOS  FILMES  VISTOS. FICA A DECEPÇÃO.. NÃO  RECOMENDO  É  MELHOR  VER QUALQUER  OUTRO,1.0,,péssimo pior últimos   filmes   vistos fica decepção ..   recomendo     melhor     outro,péss pi últ   film   vist fic decepç ..   recom     melhor     outr,péssimo mau último    filme    vistos ficar decepção ..    recomendar      melhor      outro
Nelson J,2.5,"O remake capricha nos efeitos, mas não tem a mesma força do original. Crianças desaparecem em uma pacata cidade. logo descobrirão a ligação com uma tragédia do passado e a periodicidade. crianças em apuros.",1857.0,50427.0,remake capricha efeitos mesma força original crianças desaparecem pacata cidade descobrirão ligação tragédia passado periodicidade crianças apuros,remak caprich efeit mesm forç orig crianç desaparec pacat cidad descobr lig tragéd pass periodic crianç apur,remake caprichar efeito mesmo força original criança desaparecer pacata cidade descobrir ligação tragédia passado periodicidade criança apuro
Yanko Rodrigues,3.0,"É um bom filme, não é um terror, é mais um suspense com humor. O filme tem uma boa história, mas não é nada demais.",254.0,361.0,filme terror suspense humor filme história,film terr suspens hum film histór,filme terror suspense humor filme história
Savio R.,1.0,Fui na espectativa pelos comentários. Porém o filme é horrível! Sem sustos e patético. o palhaço. Deixou muito a desejar para um filme de terror.,1.0,,espectativa comentários filme horrível sustos patético palhaço deixou desejar filme terror,espect coment film horr sust paté palh deix desej film terr,espectativa comentário filme horrível susto patético palhaço deixar desejar filme terror
pelandaboy,0.5,"Pavoroso, ruim, patético, estúpido, nojento, não perca seu tempo com este lixo. Conteúdo zero, uma palhaçada, assim como o vilão.",11.0,10.0,pavoroso ruim patético estúpido nojento perca lixo conteúdo palhaçada vilão,pavor ruim paté estúp nojent perc lix conteúd palhaç vil,pavoroso ruim patético estúpir nojento perca lixo conteúdo palhaçar vilão
Larissa L.,0.5,Filme horrível. Me decepcionei com ele assim como Poltergeist e atividade paranormal 5. Estou chateada que não se faz filme de terror como antes...,1.0,,filme horrível decepcionei poltergeist atividade paranormal 5 chateada filme terror ...,film horr decepcion poltergeist ativ paranorm 5 chate film terr ...,filme horrível decepcionar poltergeist atividade paranormal 5 chatear filme terror ...
Bruninha23,0.5,"nunca assisti um filme que diz ser terror tao ridiculo!!! péssimo filme,dinheiro jogado no lixo RIDÍCULO... Se tivesse como ter o dinheiro de volta e apagar da memoria td que assisti eu faria agora msm",4.0,1.0,assisti filme terror tao ridiculo péssimo filme dinheiro jogado lixo ridículo ... tivesse dinheiro volta apagar memoria td assisti faria msm,assist film terr tao ridicul péss film dinh jog lix ridícul ... tiv dinh volt apag memor td assist far msm,assisti filme terror tao ridiculo péssimo filme dinheiro jogar lixo ridículo ... ter dinheiro voltar apagar memoria td assisti fazer msm
Igor S,4.5,"O filme é de suspense, quem espera terror se engana. Stephen King trabalha com o horror e sobrenatural. O filme traz um pouco de romance, humor, e claro, suspensa, e trabalha todos muito bem. O filme não se torna massivo, tem diálogos bem trabalhados e, enfim, é um ótimo filme de suspense.",29.0,4.0,filme suspense espera terror engana stephen king trabalha horror sobrenatural filme traz romance humor claro suspensa trabalha filme torna massivo diálogos trabalhados enfim ótimo filme suspense,film suspens esper terr engan stephen king trabalh horr sobrenat film traz romanc hum clar suspens trabalh film torn mass diálog trabalh enfim ótim film suspens,filme suspense esperar terror enganar stephen king trabalhar horror sobrenatural filme trazer romance humor claro suspender trabalhar filme tornar massivo diálogo trabalhar enfim ótimo filme suspense
Danillo R.,5.0,"Muito bom, excelente roteiro. Quem está afim de assistir fica ciente que é terror comédia, mas vale a pena, uma das melhores obras de Stephen king.",2.0,,excelente roteiro afim assistir fica ciente terror comédia vale pena melhores obras stephen king,excel rot afim assist fic cient terr coméd val pen melhor obr stephen king,excelente roteiro afim assistir ficar ciente terror comédia valer pena bom obra stephen king
Brunãozinho,5.0,"Um dos melhores filme de terror que já assisti!
spoiler: 

E eu particularmente adoro quando o filme tem um final decente e não apenas ""todos morrem... FIM"".",43.0,5.0,"melhores filme terror assisti 
 spoiler 

 particularmente adoro filme decente morrem ...","melhor film terr assist 
 spoil 

 particul ador film decent morr ...","bom filme terror assisti 
  spoiler 

  particularmente adorar filme decente morr ..."
Gabriel C.,5.0,"ótimo roteiro aliado a uma construção de personagens bem feita. para um filme que introduz novamente o universo de it nos cinemas. Esse filme cumpre com as necessidades e surpreende sendo um dos melhores do gênero que não se preocupa apenas em causa medo, Mas sim causar pesadelos...",2.0,,ótimo roteiro aliado construção personagens feita filme introduz novamente universo it cinemas filme cumpre necessidades surpreende sendo melhores gênero preocupa causa medo causar pesadelos ...,ótim rot ali construç person feit film introduz nov univers it cinem film cumpr necess surpreend send melhor gêner preocup caus med caus pesadel ...,bom roteiro aliar construção personagem fazer filme introduz novamente universo it Cinemas filme cumprir necessidade surpreender ser bom gênero preocupar causa medo causar pesadelo ...
Ricardo M.,4.0,"O mestre do horror literário Stephen Edwin King já possui em seu acervo obras adaptadas em larga escala para o cinema, algumas puramente comerciais outras questionáveis por se basearem em livros descartáveis. No entanto, um dos mais memoráveis livros do escritor americano chama-se IT, simples assim, mas em contrapartida possui uma história perturbadora e digna de nota, tanto que sua nova adaptação para os cinemas trouxe uma produção fantástica em diversos aspectos, a começar pelo enredo.A história de IT - A COISA se desenvolve na pequena cidade de Derry, no estado de Maine, local conhecido historicamente pelo sumiço de grande quantidade de pessoas, especialmente crianças. Não por coincidência, cabe a um grupo de 6 garotos e uma garota a responsabilidade de investigar a fundo o problema que tem levado ao desaparecimento dos moradores da cidade. A empreitada nos leva a acompanhá-los em descobertas que incluem o apetite soberbo do vilão Pennywise (Bill Skarsgård) pelo medo, elemento este que possui muitos fundamentos psicológicos para amarrar a narrativa, inclusive a podridão subversiva que existe no local, o que acaba deixando margem para o sustento estético da história.O filme comandado pelo cineasta Andy Muschietti é brilhante em diversos elementos técnicos, desde a maquiagem soberba do assustador Pennywise até a fotografia que muitas vezes explora um ambiente sem exagerar nos detalhes a serem entregues ao espectador. Como obra de terror, há também grandes momentos de violência, seja pelo design de som que adapta bem a tensão vivida pelos personagens ou mesmo pela vontade crescente do vilão em atormentar os mais fracos.O elenco bem afinado, com destaque evidente para os jovens e Skarsgård, nos concede um filme de terror que não prima pela violência ou pelo susto gratuito, mas se desenvolve fortemente pela história que não se esquiva de falar de elementos delicados como estupro, agressão infantil, bullying, entre outros que servem como força e diferencial para esta película que justifica seu sucesso comercial. É uma obra que possui pontos fortes em seu enredo, compilando assim, um notório exemplar da sétima arte.",697.0,13385.0,mestre horror literário stephen edwin king possui acervo obras adaptadas larga escala cinema puramente comerciais questionáveis basearem livros descartáveis entanto memoráveis livros escritor americano chama-se it simples contrapartida possui história perturbadora digna nota adaptação cinemas trouxe produção fantástica diversos aspectos começar enredo história it desenvolve pequena cidade derry maine historicamente sumiço quantidade pessoas especialmente crianças coincidência cabe 6 garotos garota responsabilidade investigar fundo problema levado desaparecimento moradores cidade empreitada leva acompanhá-los descobertas incluem apetite soberbo vilão pennywise bill skarsgård medo elemento possui fundamentos psicológicos amarrar narrativa podridão subversiva existe acaba deixando margem sustento estético história filme comandado cineasta andy muschietti brilhante diversos elementos técnicos maquiagem soberba assustador pennywise fotografia muitas explora ambiente exagerar detalhes serem entregues espectador obra terror há momentos violência seja design som adapta tensão vivida personagens vontade crescente vilão atormentar fracos elenco afinado destaque evidente jovens skarsgård concede filme terror prima violência susto gratuito desenvolve fortemente história esquiva falar elementos delicados estupro agressão infantil bullying servem força diferencial película justifica sucesso comercial obra possui fortes enredo compilando notório exemplar arte,mestr horr liter stephen edwin king possu acerv obr adapt larg escal cinem pur comerc question base livr descart entant memor livr escri americ chama-s it simpl contrapart possu histór perturb dign not adapt cinem troux produç fant divers aspect começ enred histór it desenvolv pequen cidad derry main historic sumiç quant pesso espec crianç coincid cab 6 garot garot respons investig fund problem lev desaparec mor cidad empreit lev acompanhá-l descobert inclu apetit soberb vil pennywis bill skarsgård med element possu fundament psicológ amarr narr podr subvers exist acab deix marg sustent esté histór film comand cineast andy muschiett brilh divers element técn maqui soberb assust pennywis fotograf muit expl ambi exager detalh ser entreg espect obr terr há moment viol sej design som adapt tens viv person vontad cresc vil atorment frac elenc afin destaqu evid jov skarsgård conced film terr prim viol sust gratuit desenvolv fort histór esqu fal element delic estupr agress infantil bullying serv forç difer películ justif sucess comerc obr possu fort enred compil notóri exempl art,mestre horror literário stephen edwin king possuir acervo obra adaptar largo escala cinema puramente comercial questionável basear livro descartável entanto memorável livro escritor americano chamar se it simples contrapartida possuir história perturbador digno nota adaptação cinemas trazer produção fantástico diversos aspecto começar enredo história it desenvolver pequeno cidade derry maine historicamente sumiço quantidade pessoa especialmente criança coincidência caber 6 garoto garota responsabilidade investigar fundo problema levar desaparecimento morador cidade empreitar levar acompanhar eles descoberta incluir apetite soberbo vilão pennywise Bill skarsgård medo elemento possuir fundamento psicológico amarrar narrativa podridão subversivo existir acabar deixar margem sustento estético história filme comandar cineasta andy muschietti brilhante diverso elemento técnico maquiagem soberba assustador pennywise fotografiar muito explora ambiente exagerar detalhe ser entregar espectador obra terror haver momento violência ser design som adaptar tensão viver personagem vontade crescente vilão atormentar fraco elenco afinar destaque evidente jovem skarsgård conceder filme terror primo violência susto gratuito desenvolver fortemente história esquivo falar elemento delicar estupro agressão infantil bullying servir força diferencial película justificar sucesso comercial obra possuir forte enredo compilar notório exemplar arte
Douglas B.,0.5,"Previsível, forçado, atores mirins fracos, roteiro bobo... não cumpre aquilo q deveria: ser um filme de terror. Os sustos são forçados e clichês. Perdi meu tempo vendo e pagando.",1.0,,previsível forçado atores mirins fracos roteiro bobo ... cumpre q deveria filme terror sustos forçados clichês perdi vendo pagando,previs forç at mirim frac rot bob ... cumpr q dev film terr sust forç clich perd vend pag,previsível forçar ator mirins fraco roteiro bobo ... cumprir q dever filme terror susto forçar clichê perdi ver pagar
Sandro M.,1.0,"Um lixo. Nunca assisti um filme  de terror tão malfeito.    Violência gratuita, cenas de bullying, racismo, Quase levantei  e fui embora, mas estava acompanhado. Não recomendo a ninguém. Não há nada que se aproveite. Parece aqueles carrinhos  de trem fantasma, aparece um monstro e a gente dá um gritinho. Só que no trem fantasma é bem mais assustador. Aquelas criancas do filme  são uma cópia sem graça de os goonies. Um lixo.",2.0,,lixo assisti filme   terror malfeito     violência gratuita cenas bullying racismo quase levantei   acompanhado recomendo ninguém há aproveite carrinhos   trem fantasma aparece monstro gente gritinho trem fantasma assustador criancas filme   cópia graça goonies lixo,lix assist film   terr malfeit     viol gratuit cen bullying rac quas levant   acompanh recom ninguém há aproveit carr   tr fantasm aparec monstr gent grit tr fantasm assust crianc film   cóp graç gooni lix,lixo assisti filme    terror malfeito      violência gratuito cena bullying racismo quase levantei    acompanhar recomendo ninguém haver aproveitar carrinho    trem fantasma aparecer monstro gente gritinho trem fantasma assustador crianca filme    cópia graça goonies lixo
Matheus O.,0.5,Lixo para um filme de terror It da uma boa comédia. Muitas pessoas saíram no meio do filme de tão ruim que é não é terror é mais para comédia com mortes e sangue.,1.0,,lixo filme terror it comédia muitas pessoas saíram filme ruim terror comédia mortes sangue,lix film terr it coméd muit pesso saír film ruim terr coméd mort sang,lixo filme terror it comédia muito pessoa sair filme ruim terror comédia morte sangue
Andre E,0.5,"Pessimo filme. Terror é terror, nao combina com comedia. Esse filme nao deveria ser caracterizado como terror. Um dos piores que ja vi ...",1.0,,pessimo filme terror terror nao combina comedia filme nao deveria caracterizado terror piores ja vi ...,pess film terr terr nao combin comed film nao dev caracter terr pi ja vi ...,pessimo filme terror terror nao combinar comedia filme nao dever caracterizar terror piores ja ver ...
