autor_comentario,nota_comentario,conteudo_comentario
Joe Alvez E,3,carol Carol-2015 pretensão premisso filme polemico tratar história amor ambientado York ano 50 romance jovem vendedora    loja departamento    thereser Belivet- rooney mara mulher velho preste divorciar- Carol aird-cate Blanchett emocionar chocar direção todd hayne puramente conceitual sensível expositivo melodramático sentimento duvidas personagem mostrar close    fechar olho protagonista fotografia limpo quase estéril lembrar fotografia vintagel    50 reconstrução época funcional ser funcionar prol filme exatamente show rooney mara    entanto belíssimo atuação carga emocional personagem demonstrar contir quase subjetivamente pequeno gesto haver momento durante filme fácil receber indicação oscar carol filme sutil mostrar delicado subjetivo amor mulher época escândalo filme explorar deixar    espectador história amor feliz excelente filme
Guilherme S.,3,direção quesito roteiro evidente intrigante direção arte Figurino transportar pra universo noir fazer cate Blanchett diva imortal cinema cenário acinzentar contrasta caracterização cor fortes trilha sonoro deixar piscar atuação construídas linear delicar margem julgamento cena excelente filme
Isis Lourenço,1,romance lésbico classe alto entediante deixar desejar recomendo!estranho gostar
Crismika,3,filme sensibilidader partida contar lindo história amor mulher filme elegante fotografia impecável valorizado excelente figurino trilha sonoro excepcional completar trunfo obra arte road movie sensível personagem vivar amor lentamente crescer crescer conseguir segurar peito lindo cena amor personagem impecável interpretação recomendar
Natália T.,1,filme ótimo atuação fotografia incrível história amor passar clássico histório água açúcar mostrar duro realidade amor passar muito esperar história '' amor recordar '' recomendar filme totalmente oposto
Breno Rossini C.,3,filme agitar algum maneira prender deixar interessar histório desenvolver foca personagem omitir preconceito presente sociedade outro detalhe trilha sonoro bonita cenário rico cate rooney mara show atuação momento falar olhar personagem intrigante filme interessante bonito produzir valer pena assistir
Hugo D.,1,filme mostrar homossexualismo feminino época tratar praticamente crime recriação época impecável figurino maravilhoso química intensidade tesão atriz cate Blanchett rooney Mara dar liga produção sinal atuação depressivo apagar
Jake D.,2,carol ... filme contar história therese Belivet rooney mara trabalhar seção brinquer loja departamento dia conhecer carol Aird cate Blanchett procurar presente natal filha felizes vida Carol divorciar harge Kyle chandler convidar therese viagem Estados Unidos roteiro filme extremamente escrever diálogo bom principalmente therese Carol direção todd hayne bom carreira atuação incrível ótim principalmente Rooney mara impecável filme cinematografia lindo aspecto trilha sonoro incrível problema filme encheu saco personagem dannie interpretar John Magaro completamente desnecessário cena precisar filme carol filme belíssimo infelizmente esnobar óscar bom filme maneira filme maravilhoso valer pena assistir recomer
Vianey D.,1,tecnicamente filme fazer bonito resto ... deixar aprofundar medo preguiça    tentar polêmico sucesso criticar afinal academia querer taxar moralista criticar filme filme perder várias resumo filme burocrático raso medroso entediante sonolento ter potencial perder raso ...
Luana O.,1,chato melancólico Blanchett ótima papel faltar quimica personagem fotografia figurino ok história ficar rasa filme sensível pra eu preguiçoso
Tatamorosa B.,2,amei fotografia filme si história lindo maravilhoso ... mistério ... deixar querer ......
Camila A.,3,pouco filme lgbt gosto atuação tocante adaptação produzir fotografia lindo filme vida longo á obra magnífico
Alvaro S.,2,Iorque ano 50 inesperado caso amor filme força residir sutileza olhar intenção toque singelo história centrar romance mulher dona casa Carol cate blanchet rico prestes divorciar jovem therese rooney mara descobrir sexualidade veem preso convenção época reverber dia atual pessoa sexo esconder sexualidade namoros casamento fachar direção elegante situação tenso de elas carol abrir mão guardar filha poder vê-la frequência submeter vida falso negar essência blanchet mostrar monstro atriz poderoso!curiosidade concorrer 5 prêmio globo ouro repetir indicação edição oscar nomeação sair 14/01/16 data Estreia cinema brasileiro nota público 7.6 imdb)nota crítico 94%(rotten tomatoes)bilheteriaseua 7 milhões*mur 15 milhão contandoacesse blog 365filmesem365dias.com.br ler filme
Elizabeth A.,3,carol nascer clássico obra primo conta lindo história amor beleza sensibilidade delicadeza impossível deixar levar história personagem elenco impecável destaque divo cate Blanchett rooney mara maravilhoso therese belivet toddy hayne show direçãor completar fotografia figurino roteiro perfeito
Neto S.,1,jovem therese Belivet rooney Mara emprego entediante seção brinquer loja departamento dia conhecer elegante carol Aird cate Blanchett cliente buscar presente natal filha carol divorciar harge Kyle chandler contente vida aproximar harge impedir passar natal filha Carol convidar therese viagem Estados Unidos carol bela historia bom atuaçoes cate Blanchett rooney marar otim otimo figurino excelente fotografia achei filme legal filme erro roteiro filme ficar cansativo nota 7.0
Ricardo L.,2,filme indicar Óscar roteiro contar história amor fulminante mulher totalmente distinto unido acaso atuação ótimo belo    cate Blanchett    rooney mara merecidamente indicar destaque trilha sonoro limpo estonteante dar ar descobrir suspense filme
Kamila A.,3,apesar filme chamar Carol verdade jornar viver durante filme dirigir todd hayne experimentar therese Belivet rooney maro performance indicar – erroneamente – oscar 2016 bom atriz coadjuvante cidade York década 1950 therese trabalhar vendedor loja departamento possuir namorar Jake lacy pressionar casar entretanto observarr personagem atento sentir busca – si mesmo de aquilo realmente desejar vida certo mundo therese expander cruzar olhar carol Aird cate Blanchett performance indicar oscar 2016 bom atriz cliente loja trabalhar Carol aparência magnético elegante atrair seduzir therese estreitar relacionamento Carol mulher experiente certo de aquilo conduzir therese caminho descobrir próprio busca verdadeiro dirigir elegância classe sutilezo todd haynes carol filme tornar marcante competência elenco contar maravilhoso performance coadjuvante sarah Paulson kyle Chandler técnica – destaque trilha sonoro carter Burwell preencher vazio advinr personalidade introvertido therese Belivet muito cena revelar gama emoção personagem sentir Carol acertar trama paralelo basear livro escrever patricia highsmith livro série estrelar thoma ripley filme conseguir mostrar desafiador rotina mulher carol aird largar casamento homem bem-sucedido viver vida maneiro gostar enfrentar muito hipocrisia sociedade viver aparência
Juarez Vilaca,2,lir excelente filme drama sexualidade envolver romance mulher filme levar ajustar causar impacto época 1948 dirigir momento fantástico expressão facial possível tratar bom atriz cate Blanchett rooney maro jeniffer laurence Joy correr risco perder achar barba cabelo Carol levar bom atriz bom atriz coadjuvante rooney mara surpreendente filme amante cinema sessão lotar apreciador imperdível
Eduardo Santos,3,todd haynes cineasta acostumar tratar drama cotidiano maneira interessante personagem costumar forte lidar dilema contundente afrontar padrão social época viver carol narrar história extraordinário maneira delicado sensível basear romance the price of saltr patricia highsmith mesmo autora talentoso ripley filme contar história carol Aird incrível cate Blanchett lindo senhora casado hargir bom kyle chandler mãe adorável menina encantar jovem therese rooney mara excelente entrar loja departamento convém falar trama ter inúmero surpresa valer pena perceber entrelinha câmera hayne distinto personagem aliás grande trunfo produção justamente talentoso diretor conseguir transmitir nuance personagem classe sofisticação doçuro fugir obviedade explicitação diálogo imagem escolhar extraordinário elenco ajudar competente Blanchett compor protagonista forte apaixonante atrevido insegurança transmitir feminilidade encanto acachapante marar brilha inexperiente adorável therese química atriz excepcional imprescindível haver cumplicidade transmitir olhar gradativo aproximar apaixonar chandler marido apaixonar transformar pedra sapato romance atuar destaque Sarah paulson amiga confidente carol bom momento roteiro cativante diálogo belo construir prender atenção instante técnica ficar pra trás fotografia direção arte figurino trilha sonoro ... criar clima envolvente tratar se filme singelo delicado tratar romance mulher naturalidade maturidade beleza mostrar raro cinema filme torçar dê certo fiquer torcida protagonistas mostrar amor sexo idade preconceito si valer pena viver praticamente ode amor livre estigma
Carlos P.,1,filme regular assistir filme mereçar tanto indicação prêmio consideração crítico história belo diferente vir filme gênero atuação realmente encantar assistir achar ruim gostar esperar obra-prima
Gabriela Santos,3,filme encantador convidativo cheio sutileza atriz fantástico interpretar personagem convincente envolvente fotografia peculiar belo representação ano 1950 ritmo trama provocante tornar expectativa vir
Luiz C.,2,amor doce inspiração ... filme doce sutil delicar penetrante história amor fino ano 50 novaiorquino flutuar definição carol diretor todd hayne indicar categoria oscar 2016 trama contar histório carol Aird cate Blanchett mulher chique apaixonante separar possessivo marido harger kyle chandler adorável filha levar casamento condição social época quase impossível traçar vida ser tradicional dia feriado natal conhecer therese Belivet Rooney maro loja brinquedo começar relacionar amizade claro velho encantar simplicidade pureza jovem ... descobrir experiente real motivo palavra curiosidade fascínio amor apaixonar intenso romance surgir naturalmente botão roso transformar fino flor    flor romance magnitude complicado tempo moderno imagine retrógrado familiar ano 50 preconceito época ciúme excessivo futuro ex-marido aliar pressão carol      filha dificultar justamente motivo enredo ganhar ar sensível desilusão sensibilidade poético retratar maestria perfeição pressar roteiro mostrar realmente precisar mostrar começar papel atriz desempenhar cena protagonista    dom    serenidade elegâncer glamour coadjuvante olhar expressão facial maneira exato procurar liberdade cate Blanchett rooney mara indicar estatueta bom atriz bom atriz coadjuvante respectivamente atingir ápice cena reparar Carol tocar cabelo loiro neve cair lento deslumbrantemente emocionar therese tremer desejo tocar amar impecável atriz entregir papel fazer especialmente personagem encantar diretor equipe trabalho sagaz completo ar obra-prima produção figurino charme época casaco pele luvo joio ... trilha som transformar puro poesia fotografiar paisagem oeste norte-americano rua carro prédio York tom calmo amarelar ouro roteiro adaptar    livro the price of saltr patricia highsmith indicação oscar tom célebre merecido finalizar haver falar ... delicadeza amor menu paixão sensível olho nu enriquecedor sentimento cru viagem inspiração melódico carol proporcionar surgir presente olho mente coração definir admiração
c4rlc4st,2,belo romance embalar irreparável rigor técnico saber passar preconceito ter dificuldade identificar dor incertezar raiva personagem deixar envolver maravilhoso sensação triunfo viver crítica julgamento
Aurelio Cardoso,1,      preparar      diretor          belo      paraiso     todd    hayne            passar      ano    50          segurança      pai    perfeito    parecer      estado    Unidos          repetir    belo    reconstituição    época    ótimo    figurino      fotografia          contrário      falar      amor    proibir    interracial    homossexual          falar        amor      mulher    elegante charmoso     rico        velho    casado          filhinha           simplória    vendedora    loja       jovem         destino           cruzem              luva     esquecer       narrativa    elegante      respeitoso        personagem    cate    blanchett            pouco      atração      tornar      irreversível       obstáculo    susto surgir        estar    ano 50
Julio C.,3,sensacional filme mulher apaixonar revelar gay difícil preconceito lembrar filme passar 1950 gesto subtil ser fazer demonstrar afeição pouco pessoa poder perceber filme incrível tocar coração acender chamar em ele sensação incrível 5 estrela 
Mário Sérgio P.Vitor,2,fiquei encantar carol ler algum filme bonito plasticamente contrapartida faltar comprometido amor engano escrever crítico carol esbanja olhar sutileza clim sedutor atriz soberba papel poder soar caricato reconstituição época figuro trilha sonoro babar faltar aproximar outro filme diretor paraíso consideror obra-prima faltar  
Alan David,1,belo adaptação ambientação fotografiar estilo ano 50 retratar cate Blanchett personagem forte elegante empolgar perder roteiro
Nelio M.,2,quanto elegância requinte quanto coisa bonito filme ... vontade acompanhar pra romance achar química de ele forte simplesmente cativante
Alan,1,filme contar bom atriz tratar tema sensível desenvolver se lentamente prender atenção espectador
Bruno Maschi,1,carol filme contar belo história amor algum motivar cativar maneira achar cativar esperar reconhecor filme fazer
Thiago C,1,problema roteiro amor pessoa independente idade e/ou gênero dever visto mesmo ternura filme todd haynes destaque sensível fotografia 16 mm fascinante trabalho desfoque trilha apaixonante carter Burwell
Nelson J,3,filme sensível caracterização espetacular época cate Blanchett extraordinário mulher buscar separação marido guardar compartilhar visita monitorar filha problema Bebedeira ausência marido inclinação homossexual ameaçar perda total contato filha ambiente conhecer balconista interpretar ótima rooney mara conseguir contracenar talento cate filme sensível delicar sociedade repressivo atual atenção sensibilidade
Lúcio T.,2,paixão sentimento provocador impulsivo desesperar inquieto perder noite sono ausênciar valer minuto presença dóier constrói há perceber podes escolher mistério existir apaixonar pensar começar simples olhar ..... belo adaptação livro “ the price of salt ” patricia higsmith publicar 1953 diretor todd haynes cuidado delicadeza trabalhar lindo trilha sonoro suave ouvir escutar certeiro momento tocar fotografia primoroso charme equipe filme viajar tamanho perfeição elenco achei cate Blanchett    atriz famoso cinderela 2015 curioso caso Benjamin buttor 2008 aviador 2004 bonito sedutora elegante sexy onipotente incrível sedução quase 007 faltar apresentar aird carol aird pedir clássico drink Martini personagem nome título atuação fantástico protagonista atriz rooney mara peter pan    2015 millennium homem amar mulher 2011 rede social 2010 interpretar par romântico Carol therese Belivet palavra descrever química cena traduzir amor ser simples sutil gracioso resumo romance explícito complicado época proibir visto escândalo época ..... dificuldade apresentar maneira levar atrapalhasse admiração crescente lógico espectador carol    mulher maduro mãe prestes divorciar exatamente therese jovem descobrir mundo encantar olhar carol claro diretor colocar cena personagem Blanchett brilho enxergar amar filme bonito coisa ficar ar saber espião chegar casa noite desnecessário amor homem mulher ser humanos belo amar ser importar    dever entregar invés roubar matar prejudicar sentir felicidade ...
Arnaldo C,1,surpreendente cansativo pulo gato consigo entender nota 5 adorir filme
Isabel,1,"diretor todd haynes paraíso julianne moore demonstrar afinar diretor filme clássico filme carol abordar mesmo temática conflito homoafetivas filme primor capricha embrenho atmosfer ano 50,onde glamour figurino transporte fotografia carimba brilhante filme;grande sorte diretor escolhar atriz rooney mara conheci junkie endiabrar millenium incorporar bom personagem conseguir emitir olhar inquietudes;admiração submissão relembrar elegância atriz maggie mcnamaro audrey hepburn semelhança rosto atriz inglês Jean Simmons tbém ano 50.quanto cate Blanchett misto Joan crawford lano turner atriz fascinante    jo público desgrudar minuto presença altivo    magnético jaz jus trama marido    mulher tela desatinar"
Michael Pires,2,filme perfeito haver tirar tecnicamente perfeito figurino som trilha maquiagem interpretação direção arte fotografiar roteiro direção funcionar ritmo perfeito
Regilane P.,2,excelente filme muito exploração sexual delicar abordar amor mulher tempo diferente sentimento considerar conduta imoral causar repudio principalmente família tradicional época belo atuação cate blanchete Rooney mara valer apena sair casa pra assistir
Gisele C.,1,ótimo atuação    belo fotografia .. filme ter 10 estrelinha faltar sal açúcar .. tecnicamente gracinha ... ficar sensação faltar
@cineinstadicas,2,obra surpreender Carol lista haver bom acabar ficar pra filme diriger rico detalhe nuance apelativo diretor conseguir captar detalhe sutileza atriz principal trama conseguir cena belíssimo delicar gosto atuação cate    rooney esplêndido obra rico    detalhe passar despercebir expectador atento    filme comercial ritmo lento contemplativo dica @cineinstadico
Dieferson D.,2,colega muito pessoa considerar ida cinema frente tv filme mero distração lúdico despretensioso ater pensar significado ensinamento momento magia beleza cinema proporcionar momento frente mundo mágico poder fantástico descobrir consciência humano mundo mágico ver perspectiva correto colega de esse filme levar viagem interior mente coração levar descobrir sentir viver capacidade entender vida facilidade ser influenciar negativo acontecer vida fantástico jovem portador síndrome down levar descoberta mostrar escancarar sensação amor amizade força vontade belo história contar história jovem amigo síndrome down viver junto instituto especializar aficionar cinema decidir inspirar história assistir decidir fugir instituto viajar Brasil buscar sonho chegar pra país aventura conhecer várias amigo experimentar sensação dia dia instituto permitir viver dinheiro parente procurar roubar carro começar efetuar pequeno roubo loja lanchonete mercado chamar atenção imprenso policia monto força tarefo caçar divertido trio meliante cena poesio beleza impressionante história transmitir emoção personagem momento cena amor casal down maravilhoso inesquecível prepare viagem interior começar valorizar dia assistir belo história Esperança amizade
cinetenisverde,1,perceber potencial dramático narrativo filme ator síndromer down interpretar personagem síndrome down perceber idealizador colega ter ter mesmo visão aliás comercial empreitar principal responsável amontoado caos envolver história clichê simplesmente sentido
Cipriano de Borba,1,legal!as atuação ótimo coisa auto explicativa precisar narrar detalhe atrapalhar história
Jonathan G,1,conto simples belo irregular colega filme gostoso apreciar personagem carismatico divertir inclusão social vida sonho problema estrutura narrativo perder belo começo filme    filme pedir refletir    vida gente ter ser objetivo filme contar história viver sonhar resto deixar rolar
Fine9,1,colega cópia filme alemão 2010 vincent Will meer enredo drama personagem par romântico fugitivo formar sutil diferença filme alemão drama foco principal filme contrapartida filme brasileiro espaço comédia tentar divertir telespectador usar síndrome down deixar filme comparar versão europeu ficar difícil sentir vontade assistir brasileiro destaque trabalho si realizar filme portador real síndromer down outro positivo desenrolamento história provavelmente emprestar versão alemã
Bruna A.,3,assistir filme
Ana S.,3,louco dvd assistir
Ric Brandes,3,divertir competente protagonista síndromer down interpretar stalone aninha Márcio filme trazer elenco Lima duarte Marco luque Juliana didone otávio mesquitar curioso sósia raul seixa jovem síndromer down elenco vencedor festival cinema gramar bom filme bom direção arter prêmio especial júri filme jus prêmio receber público Cinemas narração Lima duarte excelente trilha sonoro raul seixas roteiro direção competente ator road movie lembrar magia encanto primeiro filme trapalhão início carreira diverte comove espectador alto filme sul protagonisto estrada cruzar Brasil Paraná Santa Catarina rio Sul karmann ghia vermelho buscar sonho coisa simples mar voar casar tornar se forte marcante memória assistir aventura ... histório inspirador amizade amor Esperança render fruto futuro indicação oscar 2014 oscar brasileiro ... Sean penn dar ariel ir repetir abraço dia cerimônia oscar colega merecem!por ricardo brande escritor
Thales H.,1,filme fraco gostar roteiro apesar simples atuação terrível
Um visitante,1,"colegas""foi lembrar festival gramado trazer curiosidade história nacional notável dificuldade protagonisto longo nenhum de eles ter trabalhar função impressionante empenho de eles esquecer passar filme momento exagero ser fictício abusar cena colega começo bom citação ótimo filme jovem adorar assistir sair busca aventura contar protagonista chamar se stallone referência impossível festa trama narração Lima duarte anunciar jovem cena ter sincronia certo parte triste indecisão melhorar filme"
Siri S.,1,filme legal diversão descontrair claro 3 portador down karmann guia vermelho ser facilmente encontrar polícia filme ver ótica provável obra fantasia sentido poético cumprir papel atuação 3 protagonista
Ronaldo B.,2,finalmente assisti filme vir semana cinema de aqui ultimo dia filme cartaz assistir esperar filme maravilhoso ter ouvir falar respeito filme ... enfim maravilhoso achar ótimm comédia lir filme merecer bilheteria digna milhão
Fernando Sampaio,1,esperar filme atrair excelente trailer achei roteiro raso faltar ritmo histório notar 3
Eduardo A.,1,filme potencial diretor produtor ter mão Belo tema ator pena filme ar sessão cena ingênuo
Roberto  S.,1,sonho personagem interessar início aparentemente sonho ser esquecir decorrer filme historia personagem aproveitar decepcionante nexo recomendar
Silvia P.,2,divertido levar apesar policial falarer palavrão    vele ver lição
Idelvan A.,2,crítico construtivo á gente refletir poder respeito á sermos bom pensar
"Marcos,o crítico",1,filme bobo ridículo descartável gostar filme retardar bom pedida estória inutil servir pano fundo incluir portador síndrome down ator atuação pífio pessoa totalmente desqualificar talento capacidade atuar Lima duarte sujeitar participar lixo de esse
Gleice S.,2,filme inteligente extremamente sensível fantasia encantar simplicidade debater inclusão social filme belo convite reflexão viver sonhar super indico
Thais Fraga Ferreira,3,achei filme levar fofíssimo personagem carismático mostrar inocência buscar realização sonho pareçar impossível márcio interpretar ator breno violar engraçar graça perceber ..... rssfiquei feliz sonho ator Ariel goldenberg realizar finalmente conhecer Sean penn
Claudiney S.,2,assisti pré-estréia rio presença ator diretor ótimo interação de ele conosco filme fácil eu irmão síndrome fiquei receceioso percepção pessoa conhecer deficiência confundir inocência pureza de esse garoto simples erro práticar felizmente festa mostrar pessoa normal sentar amar sofr sonhar acho vantagem dar falho personalidade genericamente poder deficiente
Deise C,2,finalmente conseguir assistir filme lir ver cinema filho síndromer down morrer ano ter medo emoção conseguir casa deixei vir emoção juro emocionar filme ator filme mostrar portador síndrome ator representar bandido arma mão fazer cena amor lindo sinal sedução enfim ator historia ter mocinho mostrar herói sentido vida limitação balela aprisionar pessoa considerar deficiente limitar filme foger limitação oferecir instituição viver vida ser limitar ser permitir terceiro á luta buscar sonho fazer conseguir realiza-los matar criança autógrafo folheto procura-se paquer namorar casam .... enfim viver lir filme lúdico alegre engraçar dever representar Brasil festival internacional exterior poder descobrir saber falar coisa favela estupro assassinato
Idy I,3,lir sensivel ... diversao emoçao pra ... vale pena conferir pelicula viver mundo diferença sao olhar
Luis Henrique F.,3,filme engraçado inteligente inocente pra liga p detalhe erro continuidade    curtir trilha Raul perfeito
Silvia G.,2,filme levar humorado pieguice dirigir ótimo atuação recomendar garantar diversão reflexão
J-e D.,1,"comentar filme colega portador síndrome down protagonista reclamei falar arma filme violência respostar diretor roteirista Marcelo galvao dizer seguinte ver análise colega ficção documentário história preciso haver q justificassar mobilização q causar país qto estranhamento arma Marcelo achar q preconceituoso limitar ator down papel mocinho ator gostar atuar mocinho vilão mostrar versatilidade talento entender preocupação observar q sociedade ninguém criticar brad pitt tom cruise usar arma filme ator considerar normal papel mocinho vilão ator down poder tb enfim ficar questionamento nós!""e respostar heróis""todo mundo adorar herói pessoa fila vê-los gritar nome ... de aqui ir ficar chuva durante hora relancer eles ensinar continuar acreditar acreditar exista herói manter honesto força enobrecer ... permitir morrer orgulho May reilly parker Jameson tia May personagem tir peter parker homem aranha nordeste vir gente crescer iluminação exemplo histório força ensinar guiar vida histório ser real imaginar ensinar ilumino decepcionar existir moral histó achar valir interpretar brilhantemente filme    portador síndrome down armar bandido sndo bandido assaltar perseguir ... completo insulto eu eu temer comentar levantar gritar afronta achar pai filho especial ver crescer gesto ação querer alguém bom filme começar abandono de eles instituição retrograr confinar louco ... louco ser mundo merecer abandonar transformar ser luz bandido cumulo gosto pessoa aplaudem realmente questionar saber filme ano otávio mesquitar falar mostrar pequeno vídeo cara dizer gostar deixar silencio silencio deixar ser espalhar mundo retrocesso falar inclusão filme querer história ensinar história ensinar preconceito começo colocar caixinha diferente ser indigente próprio vida dizer existir vitória ensinamento fazer aprender    experiência filho arthur Filipe percebi herói preciso herói erguer dificuldade ... ... arthur querer andar perninhas tremer músculo dizer desistir incredulidade forço vontade 3 ano andar caminhar de ele cair braço abraçar de ele ver ser pai de ele ... formiguinha querer muuuuuuito ... gigante ano histório aventura transformeir deficiência habilidade deficiente vida notar pessoa filho ter graça telo vida tanto redor tooodo mundo herói herói inspir mobilizar emocionam guiar gritar alegria comover alma encontrar força existir impossível palavra ordem saber conjugar palavra    avó aghedo cego dizer mim manter coisa neto dom maravilhar indignar artista pai indignei calar coisa olhar ... avós ensinar verdade aprender história ironicamente mentirinha herói vencer triunfante bandido vida chance ajudar alguém cometer ato bondade agir prol semelhante amor ouvir deus pagar deixar querer mocinho contamina ... amor .... amor escrevo texto lembrar abraço passo filho apossar vontade dia saber fazer suportar mundo dar inestimável teimoso determinar esperança._ancerg"
Poisondragon,1,filme pífio ter simpatia tema filme ruim premissa inicial ficar esquecer ator mostrar criminoso ... narração chato continuar deixar interpretar ... horrível recomendo
Ericky M.,1,Muitto ruimmm filme fazer ideia prodizir filme preconceito maneira filme empregar horivel colocar filme 3 dom down assaltante passar vizao preconceito
Diego S.,3,caso estar perguntar filme birdman antemão praticamente filme funcionar    sátira    caso arte imitar vida '' perfil hollywood filme blockbuster obra alejandro gonzález    discutir panorama diferença arte-    amor determinar coisa- provar relevante filme mostrar maneira explícito    sucesso comercial qualidade andar mão dar necessário separar fama talento    hoje dia ganhar milhão visualização youtube bizarrice      fazer significante birdman    certo ressentimento onda blockbuster filme super-herol filme faturar bilhão obra-prima arte personagem birdman dizer ninguém papo filosófico depressivo explosão violência haver sátira retórico crítico cinema falar produção analisar estrutura fato ter conseguir tornar artista filme criticas conseguir falar valor relação existência filme apresentar    personagem incrível carga emocional dramáticar elenco vida personagem poder bom perfeito momento relevância destaque emma Stone naomi watts Edward norton claro michael keaton incrível fato filme parecer ser filmar executar longo único tomar fato diretor provar produção cinegrafista elenco cena extremamente longo interrupção pouquíssimo transição cena existir editar parecer existir trilha sonoro muito peculiar ser filme sustentar percussão engraçar cena ouve bateria musica fundo ai ator passar realmente baterista tocar filme contar história ator    década 90 dono grande bilheteria mundo graças franquia super-herói chamar birdman rejeitar filme franquia carreira abismo decidir investir    dinheiro peça broadway Esperança poder trazer ele volta mundo show business atuar dirigir peça ator ego estrelismo elevar precisar lidar filha sar acabar sair reabilitação fato de ele ser pai ausente momento angustiante escutar voz assombroso reconfortante alter ego birdman interessante personagem filme metáfora vida michael Keaton resultado birdman filme maravilhoso rico original poético garantir ótima    experiencia realmente apaixonar cinema garantir experiencia estranho pessoa sair zona conforto(que
Um visitante,1,hoje engulo filme tirar oscar bom filme hotel budapeste ... levar comédia dramático dúvida entanto soar pretensão filme conteúdo central trama si interessante apresentar válir indústria entretenimento atual fazer óbvio direção indulgente sufocante funcionar filme bom ator duelar cena especialmente keaton norton dose comentário social ácido pacote público birdman parecer de aquele filme super pomposo cabeçudo aparecer radar época premiação
rogerio.sjrp,3,trama histório birdman passar dia período peça teatral broadway dirigir riggan Thomson interpretar michael keaton entrar pré-estreia passado riggan tempo glória fama hollywood interpretar personagem fictício birdman papel render sequência sucesso recusar papel sequência seguinte ver carreira ator entrar decadência quase autobiografia ator michael Keaton Correto conhecer carreira keaton sacar jogada birdman verdade sátira ator Keaton interpretar batman 1989 batman retorno 1992 ano estrear birdman 3 roteiro filme dirigir tim burton primeiro longo metragem homem morcego telonas render Keaton crítica positivo aceitação público gostar roteiro recusar papel sequência seguinte batman forever ser substituir val Kilmer michael keaton haver receber nenhum papel prestígio cinema personagem riggan keaton tentar reerguer provar talento conseguir receber prêmio importante bom ator ano globo ouro critic ´ Choice awards favorito oscar carreira keaton mostrar expor maquiagem artifício calvo cena aparecer cueca mostrar homem maniar walter White pegar personagem birdman fundir riggan funder Keaton atuação brilhante verdade elenco mérito Edward norton fã fight club personagem coadjuvante inescrupuloso emma Stone filha problemático concorrer estatueto atuação personagem protagonista autobiografia ator principal filme si metalinguagem puro locomoção câmer corredor estúdio teatro rolar bastidor parecer documentário behind the scene luz cenário filme natural ambiente quase realista ver crítica cômico ser trágico indústria cinematográfico broadway ator buscar fama preço argumento crítico cinema arte telespectador certo birdman lembrar cisne negro drama psicológico cujo protagonista viver crise existencial questionar realidade criar mundo fictício capaz cometer exagero buscar perfeição arte explicar subtítulo filme inesperado virtude ignorância ficar contar imaginação
Regina B.,1,interpretação direção incontestavelmente excelente filme chato diálogo interminável trama insosso confuso personagem involvente ganhar oscars definitivamente encantar
alexandrecunha,1,filme ser nomear oscar 2015 mínimo dever campeão troféu framboesa ouro ruim biografia michael Keaton desistir    papel sequência Batman perder cabeça começar achar personagem cair ostracismo 20 ano exilio!concordo idéia mostrar ator papel importante quadrinho ficar estereotipado pra valido filme ruim lento fraco insosso .... desculpem-me sinceridade ruim percar mela-cueca inferno
Adriano Côrtes Santos,3,birdman alejandro González iñárritu obra cinematográfico ousar revigorante cativo complexidade ritmo ininterrupto filme misturar elemento comédia drama narrativa único realização precisar iñárritu criar atmosfer imersão contínuo roteiro co-escrever nicolás giacobone alexander dinelari armar bo oferecer trama original cheio camada explorar ego fracasso buscar relevância michael keaton entregar performance impecável totalmente alinhar papel ator crise existencial Edward Norton destacar imprevisível coadjuvante direção arte excepcional trilha sonoro Antonio sánchez acompanhar filme pulsante adicionar dinâmico único produção poder experimento visual transformar estudo humano profundo hilário fusão raro técnica sentimento refletir tensão manter espectador constante reflexão
Tatiely C.,1,filme chato totalmente noção indicar oscar bom filme mau
Fernando M.,3,"filme ousar conteúdo michael keaton ótimo papel riggan thomson – ator ganhar fama dinheiro franquia “ birdman ” haver ano rejeitar continuar artístico estar volta riggan dirigir estrelar peça broadway basear conto escritor norte-americano raymond carver 1938-1988 “ estar falar falar amor ” 1981).o filme mensagem entrelaçar ator reinventar sugerir discussão tensão arte fábrico celebridade hollywood motivo crise existencial riggan oscil prepotência insegurança haver filme gostoso retrato fama relevâncio pautar viral selfie iñárritu metafilme “ ostentação ” cheio referência maneirismo ambiguidade toa reunir ex-ator franquia super-heróis caso Keaton franquia Batman tim Burton norton hulk Emma Stone gwen stacy espetacular homem-aranha 2"").norton papel Mike shine talentoso arrogante ator teatro la “ actors studio ” ser pedra sapato Thomson stone sam único filha thomson Problemática acabar sair clínico reabilitação “ birdman ” alterno Real imaginário lucidez loucuro – entrar inferno pessoal riggan problema familiar financeiro tensão estrear peça apostar alto contar filme filmar único plano-sequência reforçar teatralidade metalinguagem trilha sonoro pautar solo baterio filme nervoso alucinar ambíguo tom derrotistar longo deixar ar estranho fantástico volta"
Emilio G.,1,fã cinema 60 ano último anosestar decepcionar ganhador oscarnão com si entender filme categoria possaganhar oscaro filme fazer público metir entendidosbirdman porcar ganhar oscarse estar errado erro 60 ano
Tamara L.,1,filme monótono confuso diálogo agradam deixar desejar
Jorge Manuel G.,1,filme obviamente delicia pessoal teatro televisão cinema etc argumento pecer teatro broadway algum profundidade originalidade entanto bocado chato exagero total nomear bom filme 2015
Marta S.,1,achar pior filme ver mau
